,Date,Market,Branch,Product,Return,Payment,Product and Return
268,2023-04-03,сансар,15,302400,86400,,388800
269,2023-04-03,сансар,34 Яармаг,360000,14400,,374400
270,2023-04-03,сансар,38 Ханбогд,460800,57600,,518400
271,2023-04-06,сансар,8 Чулуун-Овоо,230400,187200,,417600
272,2023-04-12,сансар,6  /5шар/,273600,43200,,316800
273,2023-04-12,сансар,42 Толгойт,216000,43200,,259200
274,2023-04-13,сансар,1,144000,14400,,158400
275,2023-04-13,сансар,13,72000,,,72000
276,2023-04-15,сансар,26 Олимп хор,403200,,,403200
277,2023-04-17,сансар,34 Яармаг,187200,,,187200
278,2023-04-20,сансар,21 Содон хор,489600,72000,,561600
279,2023-04-21,сансар,26 Олимп хор,244800,,,244800
280,2023-04-24,сансар,25 УБ Их Сургууль,115200,,,115200
281,2023-04-26,сансар,34 Яармаг,1008000,57600,,1065600
282,2023-04-26,сансар,38 Ханбогд,417600,43200,,460800
283,2023-04-27,сансар,15 Наадам,244800,28800,,273600
284,2023-04-27,сансар,13,964800,,,964800
285,2023-04-27,сансар,BZ Товчоо,201600,72000,,273600
286,2023-04-28,сансар,17,374400,43200,,417600
287,2023-04-29,сансар,26,273600,86400,,360000
288,2023-01-04,мд,Нисэх,201600,72000,"129,600.00",273600
289,2023-01-05,мд,117 Далай Ээж,316800,43200,"273,600.00",360000
290,2023-01-06,мд,125,705600,57600,"648,000.00",763200
291,2023-01-06,мд,зайсан,547200,72000,"475,200.00",619200
292,2023-01-12,мд,117 Далай Ээж,417600,28800,"388,800.00",446400
293,2023-01-13,мд,зайсан,259200,,"259,200.00",259200
294,2023-01-15,мд,125,129600,43200,"86,400.00",172800
295,2023-01-16,мд,110,316800,86400,"230,400.00",403200
296,2023-01-20,мд,112 Саппоро,403200,86400,"316,800.00",489600
297,2023-01-20,мд,108 Зайсан,172800,14400,"158,400.00",187200
298,2023-01-21,мд,125,388800,72000,"316,800.00",460800
299,2023-01-23,мд,117 Далай Ээж,302400,,"302,400.00",302400
300,2023-01-27,мд,108 Зайсан,446400,57600,"388,800.00",504000
301,2023-01-30,мд,117 Далай Ээж,403200,43200,"360,000.00",446400
302,2023-02-04,мд,125,892800,86400,"806,400.00",979200
303,2023-02-11,мд,108,460800,72000,"388,800.00",532800
304,2023-02-16,мд,125,504000,28800,"475,200.00",532800
305,2023-02-17,,,,,-,
306,2023-02-17,мд,112,374400,,"374,400.00",374400
307,2023-02-17,мд,Нисэх,,144000,"-144,000.00",144000
308,2023-03-02,мд,117 Далай Ээж,504000,,"504,000.00",504000
309,2023-03-03,мд,Нисэх,316800,86400,"230,400.00",403200
310,2023-03-04,мд,108 Зайсан,273600,57600,"216,000.00",331200
311,2023-03-10,мд,117 Далай Ээж,360000,72000,"288,000.00",432000
312,2023-03-13,мд,112 Саппоро,331200,,"331,200.00",331200
313,2023-03-16,мд,125,388800,,"388,800.00",388800
314,2023-03-17,мд,117 Далай Ээж,403200,14400,"388,800.00",417600
315,2023-03-20,мд,110,172800,72000,"100,800.00",244800
316,2023-03-22,мд,108 Зайсан,417600,43200,"374,400.00",460800
317,2023-03-24,мд,117 Далай Ээж,374400,28800,"345,600.00",403200
318,2023-03-27,мд,112 Саппоро,115200,144000,"-28,800.00",259200
319,2023-03-31,мд,117 Далай Ээж,144000,,"144,000.00",144000
320,2023-04-03,мд,110,216000,72000,"144,000.00",288000
321,2023-04-06,мд,125,619200,115200,"504,000.00",734400
322,2023-04-10,мд,117 Далай Ээж,172800,,"172,800.00",172800
323,2023-04-13,мд,125,388800,,"388,800.00",388800
324,2023-04-13,мд,112 Саппоро,,201600,"-201,600.00",201600
325,2023-04-20,мд,117 Далай Ээж,,28800,"-28,800.00",28800
326,2023-04-24,мд,125,547200,14400,"532,800.00",561600
327,2023-04-26,мд,110,158400,28800,"129,600.00",187200
328,2023-04-28,мд,117 Далай Ээж,648000,14400,"633,600.00",662400
329,2023-01-03,эфэс,Алтай хотхон,518400,28800,"489,600.00",547200
330,2023-01-03,эфэс,13 бөх.өргөө,331200,14400,"316,800.00",345600
331,2023-01-04,эфэс,зайсан,388800,,"388,800.00",388800
332,2023-01-05,эфэс,Морьтон,388800,,"388,800.00",388800
333,2023-01-09,эфэс,зайсан,633600,57600,"576,000.00",691200
334,2023-01-09,эфэс,13 бөх.өргөө,475200,43200,"432,000.00",518400
335,2023-01-12,эфэс,Морьтон,345600,43200,"302,400.00",388800
336,2023-01-15,эфэс,зайсан,388800,,"388,800.00",388800
337,2023-01-16,эфэс,Алтай хотхон,360000,,"360,000.00",360000
338,2023-01-16,эфэс,13 бөх.өргөө,547200,14400,"532,800.00",561600
339,2023-01-18,эфэс,Морьтон,547200,14400,"532,800.00",561600
340,2023-01-20,эфэс,зайсан,144000,43200,"100,800.00",187200
341,2023-01-21,эфэс,13 бөх.өргөө,316800,28800,"288,000.00",345600
342,2023-01-23,эфэс,Алтай хотхон,345600,14400,"331,200.00",360000
343,2023-01-26,эфэс,13 бөх.өргөө,484320,43200,"441,120.00",527520
344,2023-01-27,эфэс,зайсан,489600,72000,"417,600.00",561600
345,2023-01-27,эфэс,Морьтон,460800,14400,"446,400.00",475200
346,2023-02-01,эфэс,Морьтон,288000,,"288,000.00",288000
347,2023-02-02,,,417600,,"417,600.00",417600
348,2023-02-03,эфэс,зайсан,489600,,"489,600.00",489600
349,2023-02-04,эфэс,Алтай хотхон,527600,,"527,600.00",527600
350,2023-02-08,эфэс,зайсан,604800,14400,"590,400.00",619200
351,2023-02-08,эфэс,Морьтон,446400,,"446,400.00",446400
352,2023-02-10,,,475200,,"475,200.00",475200
